barcode,title,author,subject,description,category,media,publisher,publocation,pubdate,edition,isbn,type,thumburl,keywords,callnumber
9788176567459,Maya 4.5,"John Kundert - Gibbs, Peter Lee",Designing,,,,,,,,978-8-17-656745-9,General,,,376
9788176560269,Visual Basic 6,Steve Brown,Computer Science,,,,,,,,978-8-17-656026-9,General,,,397
9781877364174,Create Electronic Presentations (PowerPoint 2003),Cheryl Price,Computer Science,,,,,,,,978-1-87-736417-4,General,,,672
9780830642175,Build Your Own 486/486SX and Save Bundle (2nd Edition),Aubrey Pilgrim,Computer Science,,,,,,,Second,978-0-83-064217-5,General,,,475
9788176561587,The Complete PC Upgrade & Maintainance Guide,Mark Minasi,Computer Science,,,,,,,,978-8-17-656158-7,General,,,816
9783540196914,"PC Viruses - Detection, Analysis & Cure",Springer - Verlag,Computer Science,,,,,,,,978-3-54-019691-4,General,,,378
9788170296171,Teach Yourself Linux (Third Edition),"Kevin Reichard, Eric F. Johnson",Computer Science,,,,,,,Third,978-8-17-029617-1,General,,,442
9788120318939,Microsoft Access 2002,Faithe Wempen,Computer Science,,,,,,,,978-8-12-031893-9,General,,,454
9788178084992,Introduction to Expert Systems (Third Edition),Peter Jackson,Computer Science,,,,,,,Third,978-8-17-808499-2,General,,,434
9788120316478,Using the Internet (Fourth Edition),Barbara Kasser,Computer Science,,,,,,,Fourth,978-8-12-031647-8,General,,,380
9788178087658,Teach Yourself Macromedia Flash MX,Phillip Kerman,Computer Science,,,,,,,,978-8-17-808765-8,General,,,446
9788176355322,3DS Max 4 - Fundementals,Ted Boardman,Computer Science,,,,,,,,978-8-17-635532-2,General,,,462
9788120321847,Information Technology Principles and Applications,"Ajoy Kumar Ray, Tinku Acharya",Computer Science,,,,,,,,978-8-12-032184-7,General,,,366
9788170291701,Learn C in Three Days,Sam A. Abolrous,Computer Science,,,,,,,,978-8-17-029170-1,General,,,673
9788170298595,C Pearls,Yashavant P. Kanetkar,Computer Science,,,,,,,,978-8-17-029859-5,General,,,466
9780830637508,Build Your Own 386/386SX and Save a Bundle (2nd Edition),Aubrey Pilgrim,Computer Science,,,,,,,Second,978-0-83-063750-8,General,,,372
